video_id,title,channel_name,channel_id,published_at,description,view_count,like_count,comment_count
1XECx2DCW2A,كـــرداســـة | أحداث كرداسة.. ملحمة البطولة والتضحية,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-30T20:00:06Z,"كـــرداســـة | قصة حقيقية من ملفات ظابط مباحث 


#احداث_كرداسة

شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجن",3557,387,94
DqxcsA3mDLw,"""إنت وظباطك... اخلوا القسم حالًا"" 😳 فصل من أصعب فصول التاريخ 😰#المصيدة #احداث_كرداسة",Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-29T21:36:30Z,"شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_واقعية
#بودكاست
#تشويق
#غموض
 #بودكاست_المصيدة #قصص_حقي",8503,503,49
XXMqOnGIByo,مــــزاج دلـــيفري |  كل حاجة كانت متوفرة.. والطلبات بتوصل لحد الباب,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-26T18:00:06Z,"مــــزاج دلـــيفري |  قصة حقيقية من ملفات ظابط مباحث

شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_و",162546,5727,1051
zzXaIn_h5D8,مزاج دليفري | كل طلب كان ليه سعر.. لكن اللي كان بيتطلب المرة دي.. مكانش أكل! #المصيدة,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-25T10:31:54Z,"شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_واقعية
#بودكاست
#تشويق
#غموض
 #بودكاست_المصيدة #قصص_حقي",7295,303,24
ceU4H-0J_Io,الـبسـاتين | خمس أرواح راحت.. بس الجريمة دي بدأت يوم ما الزوجة خانت الأمانة,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-23T18:00:06Z,"الـبسـاتين | قصة حقيقية من ملفات ظابط مباحث

شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_واقعية
#بو",122303,4715,544
X9VBkeB6Q_w,الــدارك ويب | جرائم للبيع... والضحايا بالمزاد,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-19T18:00:07Z,"الــدارك ويب | جرائم للبيع... والضحايا بالمزاد

شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_واقعية
",154378,5442,848
12623Luu2Hg,قضية قـ / ـــتل هزّت مـــصر وكشفت جانب مرعب من الدارك ويب😱💀#المصيدة,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-18T11:59:17Z,"شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_واقعية
#بودكاست
#تشويق
#غموض
 #بودكاست_المصيدة #قصص_حقي",8372,435,38
QPouZiqGZrw,مـــا وراء كوبري الــخــشب | جريمتين… ووراهم تفاصيل حساسة  ودوافع منحرفة خفية,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-16T18:00:07Z,"مـــا وراء كوبري الــخــشب | قصة حقيقية من ملفات ظابط مباحث 


شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنا",200699,6237,778
uP4jifyw3z8,ذو الــحيــثيــة 2 | فاكر إن القصة خلصت؟ الجزء التاني فيه الصدمة الحقيقية,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-12T18:00:06Z,"ذو الــحيــثيــة 2 | قصة حقيقية من ملفات ظابط مباحث

شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_وا",145325,5844,891
Bc8Sx3lC40E,ذو الـــحيـــثيــــة | لو الجزء الأول صدمك… استعد للجزء التاني! 🔥 #المصيدة #بودكاست_المصيدة,Podcast El Masyada,UCcjo-PzMKtCD0jX8d_7X7vQ,2026-06-11T10:00:20Z,"شاهد الحلقات الكاملة من بودكاست المصيدة من هنا : https://youtube.com/playlist?list=PLJr6CYw9CcURvPGvDGjgGOjUUSRdqA8bD&si=vcYRWYUHyxkWxkDV
تابعونا علي جميع منصات بودكاست المصيدة
https://www.youtube.com/@PodcastElMasyada
https://www.tiktok.com/@podcastelmasyada
https://www.instagram.com/PodcastElMasyada
#المصيدة 
#أمجد_الشافعي

📌 اشترك في القناة
👍 فعل زر الإعجاب
💬 وشاركنا رأيك:
#قصة_حقيقية
#قضايا_جنائية
#جرائم_حقيقية
#ملفات_البحث_الجنائي
#قصص_واقعية
#بودكاست
#تشويق
#غموض
 #بودكاست_المصيدة #قصص_حقي",5085,197,20
